2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
126,Tallahassee,Florida,"190,894","181,376",+5.25%,100.4sqmi,260.0km2,"1,901/sqmi",734/km2,302718N 841512W / 30.4551N 84.2534W
127,Grand Prairie,Texas,"190,682","175,396",+8.72%,72.3sqmi,187.3km2,"2,637/sqmi","1,018/km2",324113N 970116W / 32.6869N 97.0211W
128,Overland Park,Kansas,"188,966","173,372",+8.99%,75.1sqmi,194.5km2,"2,516/sqmi",971/km2,385320N 944126W / 38.8890N 94.6906W
129,Knoxville,Tennessee,"186,239","178,874",+4.12%,98.5sqmi,255.1km2,"1,891/sqmi",730/km2,355815N 835657W / 35.9707N 83.9493W
130,Port St. Lucie,Florida,"185,132","164,603",+12.47%,118.9sqmi,307.9km2,"1,557/sqmi",601/km2,271650N 802318W / 27.2806N 80.3883W
131,Worcester,Massachusetts,"184,508","181,045",+1.91%,37.4sqmi,96.9km2,"4,933/sqmi","1,905/km2",421610N 714828W / 42.2695N 71.8078W
132,Brownsville,Texas,"183,823","175,023",+5.03%,132.5sqmi,343.2km2,"1,387/sqmi",536/km2,255957N 972718W / 25.9991N 97.4550W
133,Tempe,Arizona,"182,498","161,719",+12.85%,40.0sqmi,103.6km2,"4,562/sqmi","1,761/km2",332318N 1115554W / 33.3884N 111.9318W
134,Santa Clarita,California,"181,972","176,320",+3.21%,52.8sqmi,136.8km2,"3,446/sqmi","1,331/km2",342411N 1183015W / 34.4030N 118.5042W
135,Newport News[16],Virginia,"181,825","180,719",+0.61%,69.1sqmi,179.0km2,"2,631/sqmi","1,016/km2",370434N 763119W / 37.0762N 76.5220W
136,Cape Coral,Florida,"179,804","154,305",+16.53%,105.6sqmi,273.5km2,"1,703/sqmi",658/km2,263836N 815951W / 26.6432N 81.9974W
137,Providence,Rhode Island,"179,219","178,042",+0.66%,18.4sqmi,47.7km2,"9,740/sqmi","3,760/km2",414923N 712508W / 41.8231N 71.4188W
138,Fort Lauderdale,Florida,"178,752","165,521",+7.99%,34.6sqmi,89.6km2,"5,166/sqmi","1,995/km2",260828N 800848W / 26.1412N 80.1467W
139,Chattanooga,Tennessee,"177,571","167,674",+5.90%,143.1sqmi,370.6km2,"1,241/sqmi",479/km2,350358N 851454W / 35.0660N 85.2484W
140,Rancho Cucamonga,California,"176,534","165,269",+6.82%,40.0sqmi,103.6km2,"4,413/sqmi","1,704/km2",340724N 1173351W / 34.1233N 117.5642W
141,Oceanside,California,"175,464","167,086",+5.01%,41.3sqmi,107.0km2,"4,249/sqmi","1,641/km2",331328N 1171822W / 33.2245N 117.3062W
142,Santa Rosa,California,"175,155","167,815",+4.37%,41.3sqmi,107.0km2,"4,241/sqmi","1,637/km2",382648N 1224222W / 38.4468N 122.7061W
143,Garden Grove,California,"174,858","170,883",+2.33%,18.0sqmi,46.6km2,"9,714/sqmi","3,751/km2",334644N 1175738W / 33.7788N 117.9605W
144,Vancouver,Washington,"174,826","161,791",+8.06%,46.9sqmi,121.5km2,"3,728/sqmi","1,439/km2",453806N 1223545W / 45.6349N 122.5957W
145,Sioux Falls,South Dakota,"174,360","153,888",+13.30%,75.4sqmi,195.3km2,"2,312/sqmi",893/km2,433218N 964355W / 43.5383N 96.7320W
146,Ontario,California,"173,212","163,924",+5.67%,49.9sqmi,129.2km2,"3,471/sqmi","1,340/km2",340222N 1173615W / 34.0394N 117.6042W
147,McKinney,Texas,"172,298","131,117",+31.41%,63.0sqmi,163.2km2,"2,735/sqmi","1,056/km2",331155N 964005W / 33.1985N 96.6680W
148,Elk Grove,California,"169,743","153,015",+10.93%,42.2sqmi,109.3km2,"4,022/sqmi","1,553/km2",382453N 1212306W / 38.4146N 121.3850W
149,Jackson,Mississippi,"169,148","173,514",2.52%,111.0sqmi,287.5km2,"1,524/sqmi",588/km2,321857N 901246W / 32.3158N 90.2128W
150,Pembroke Pines,Florida,"168,587","154,019",+9.46%,33.0sqmi,85.5km2,"5,109/sqmi","1,973/km2",260116N 802025W / 26.0210N 80.3404W
151,Salem,Oregon,"167,419","154,637",+8.27%,48.6sqmi,125.9km2,"3,445/sqmi","1,330/km2",445525N 1230124W / 44.9237N 123.0232W
152,Springfield,Missouri,"167,319","159,498",+4.90%,82.3sqmi,213.2km2,"2,033/sqmi",785/km2,371139N 931729W / 37.1942N 93.2913W
153,Corona,California,"166,785","152,374",+9.46%,39.5sqmi,102.3km2,"4,222/sqmi","1,630/km2",335143N 1173356W / 33.8620N 117.5655W
154,Eugene,Oregon,"166,575","156,185",+6.65%,44.1sqmi,114.2km2,"3,777/sqmi","1,458/km2",440324N 1230658W / 44.0567N 123.1162W
